"","NO3->EF","BD->EF","PO4->EF","Temp->EF","NO3->BD","EF->BD","PO4->BD","Temp->BD"
"Gv",0.910475237676188,0.319885591738061,0.64162273283002,0.377347518408888,0.661745650947488,0.347339449222728,0.280280353499873,0.478291131941499
"Bw",1,0.6505947739995,0.531020717108976,0.133617207946048,0.170585317136871,0.599955121529333,0.441876737196286,0.181895982136777
"Ks_3",0.884773135936768,0.773461706664392,0.402636993652012,0.351628744958883,1,0.773461706664392,0.230189162343712,0.153345654896431
"Ks_9",1,0.468581754334542,0.642456636921504,0.2343005277021,0.5519674112396,0.468581754334542,0.275583015723989,0.190205241612687
"Me",0.278929656149115,0.260826828093068,1,0.412902490070756,0.436308520323996,0.582754386064978,0.217636362747394,0.479418190259745
"Mo",0.325171732295291,0.388515354924523,1,0.467404197907687,0.623270743338848,0.294403891097961,0.975668614792414,0.38498199718238
"Mu",0.808397539446964,0.522276554617467,0.609376380390178,0.39836135636282,1,0.475356678983203,0.496127973361575,0.308867671209106
"Ng",0.535673603391171,0.755539061687683,1,0.419657914658148,0.354596247304138,0.755539061687683,0.725182100385211,0.79523647505091
"Wc",0.676028617147215,1,0.389070432389493,0.818055022606523,0.841801610879163,1,0.507277238805082,0.813419671319959
"Ft",0.248332177183797,0.213074615707543,0.392184921219916,0.392174806103106,0.828179651192905,0.282126579579542,0.322633185319928,0.537608164154617
"Sh",0.566658644023863,0.839204458539446,0.660514283210004,0.604912865136866,1,0.826495734989032,0.279496169902857,0.364175662357574
"Ib_a",1,0.684932068474995,0.413982813638102,0.182264869425697,0.957117166147981,0.684932068474995,0.154259734640939,0.178519690406095
"Ib_b",0.629506123950432,0.512535916258319,0.0918695001054665,0.128977958416625,1,0.512535916258319,0.221048406518724,0.0952231083832462
"Ib_c",0.534800795522091,0.969838175644721,0.363128956054267,0.100617378341757,1,0.969838175644721,0.286158973412592,0.216510486794815
"Vo",0.692705726046536,1,0.212522657230529,0.272063136315733,0.491451480397754,1,0.280667588912336,0.204300186910862
"Od",0.748673180090013,1,0.724290157342932,0.37916493699772,0.570296587462814,1,0.341983470448483,0.693544699642447
"Mg",1,0.527208357152097,0.412129805713146,0.537609775043117,0.70910412109962,0.527208357152097,0.450822039178571,0.395753469596769
"Kn",0.203707150461699,0.775795996614738,0.654423085774704,0.689251954911384,0.376951096161493,0.663540031387564,1,0.0556806394127469
"Wd",0.454222067910615,0.552349000227287,0.714000161993875,0.220502271449262,0.436834604381367,1,0.813302596397622,0.63886772739296
"Min.",0.203707150461699,0.213074615707543,0.0918695001054665,0.100617378341757,0.170585317136871,0.282126579579542,0.154259734640939,0.0556806394127469
"1st Qu.",0.494511431716353,0.490558835296431,0.397410957435964,0.227401399575681,0.46414304238956,0.493946297620761,0.277539592813423,0.186050611874732
"Median",0.676028617147215,0.6505947739995,0.609376380390178,0.37916493699772,0.661745650947488,0.663540031387564,0.322633185319928,0.364175662357574
"Mean",0.657792388801671,0.642874748140968,0.571327907135533,0.374779733303322,0.684747905684949,0.671793100687952,0.436852301241452,0.37714978161377
"3rd Qu.",0.897624186806478,0.807500227577092,0.68725722260194,0.443531056282917,0.978558583073991,0.898166955316877,0.501702606083328,0.508513177207181
"Max.",1,1,1,0.818055022606523,1,1,1,0.813419671319959
"IQR",0.403112755090125,0.316941392280661,0.289846265165976,0.216129656707236,0.514415540684431,0.404220657696116,0.224163013269906,0.322462565332449
"n_significant",12,13,13,6,14,15,6,5
"n_rank1",8,6,5,0,10,6,2,1
