"","Gv","Bw","Ks_3","Ks_9","Me","Mo","Mu","Ng","Wc","Ft","Sh","Ib_a","Ib_b","Ib_c","Vo","Od","Mg","Kn","Wd"
"BD<->EF",0.111904065633145,0.0825324799988493,0.0397586523021087,0.0432516294272248,0.177818790852717,0.142341119282333,0.135776885964091,0.0983506170720937,0.14177139501362,0.0876524045463853,0.0765177922808392,0.0416971780670654,0.0373849020836452,0.0767194630909985,0.121549940650358,0.249676914464173,0.13186686071089,0.0642415865916117,0.122797175938967
"BD<->NO3",0.100912079491844,0.0793844236136436,0.0314968615241069,0.0465655907249163,0.203369990830345,0.0901128688624153,0.0598806717547555,0.166865974895437,0.230384800157642,0.063130987969408,0.0475048562069455,0.0270625804391906,0.0208475479722393,0.0531830123652812,0.148783398072703,0.127038686088346,0.245756153409189,0.074693178894807,0.187999994553269
"BD<->PO4",0.0939415518576648,0.0786034574685305,0.0810524502328039,0.047264447598547,0.214477948300454,0.176250067312551,0.0853123604986197,0.130067473777267,0.175194370503946,0.100091000737952,0.0798785585311089,0.05580234752116,0.0635581321633387,0.0724685275083336,0.162250861717283,0.103299858201707,0.11340275142531,0.0823679632893725,0.15675679613876
"EF<->NO3",0.095970791956074,0.0794381660001547,0.0463811725979944,0.0243203390822207,0.209216800452327,0.214200790220415,0.13403521907904,0.181822643472592,0.18714160170716,0.110289868028755,0.0719593231035013,0.0347188697637426,0.051779776734715,0.0917083752913741,0.150441290179752,0.0948756286825835,0.130161450265737,0.0904108127418786,0.135061188941132
"EF<->PO4",0.0849448600530938,0.0745110368797768,0.0546724558675862,0.0513266682519957,0.325753100695596,0.185164198377098,0.108091319820771,0.155671845131168,0.227222794639328,0.116192347286652,0.0773019787098855,0.0545856475092479,0.0450806770534633,0.0781117099096513,0.167244830496025,0.119070139620709,0.125964812074589,0.0862611792523843,0.15156623082518
"Type I-N",0.0986836216130778,0.063367792279907,0.0398917365260907,0.0408496990818887,0.164389099618915,0.130417724716673,0.0903817956548219,0.222411906121419,0.215602824858396,0.135826437186982,0.0682497111636395,0.0314876717638853,0.0433571665730325,0.0586002959625527,0.120520527144753,0.163924585418503,0.125303132042274,0.0645000932164339,0.176740075787523
"Type II-N",0.109202861737499,0.0746756751850036,0.0331918452115974,0.0343600989019881,0.205883880542613,0.161251030759315,0.164204342741611,0.141407599317125,0.234192856191428,0.156335923149722,0.0607957024703327,0.0344054952809399,0.0330891215327683,0.0910940229537123,0.169532807724523,0.157660005458926,0.208342356420028,0.0695373008032628,0.170134933025999
"Type I-P",0.0858153296044986,0.0682907678640779,0.0394254784092678,0.0416500258112046,0.215533407043711,0.146149843932237,0.0908743892781474,0.137368149474885,0.161767333651136,0.0882164098753565,0.0740323984388733,0.0692606148334807,0.0596643813468185,0.0715554222008277,0.190172408885962,0.182337638284117,0.125853840996135,0.0758261710596216,0.135212271294134
"Type II-P",0.116806344732966,0.0707358620617936,0.111589669325307,0.044190817550328,0.232225142767237,0.151089252140244,0.162022768451972,0.149805952909155,0.204025221263383,0.118483468149588,0.062978868673381,0.0576127232528986,0.0526985748431993,0.0909238830803737,0.150685836327748,0.171683523145505,0.122331927793917,0.0678297735857341,0.0917803363279297
